,Unnamed: 0,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13,Target
0,0,2012-08-13,25.96,26.19,25.9,25.93,4240173,ADM,-0.0,,,,,,,,,,,,,,,,,,,,,,,26.00666666666667,26.113333333333344,26.296666666666674,26.40333333333335,25.82333333333334,25.71666666666667,25.53333333333334,,,,,,,,,0.10344827586207192,0.0,0.0,,0.5
1,1,2012-08-14,25.93,25.95,25.63,25.82,4161263,ADM,0.0,,,,,,,,,,,,,,,,,,,-0.10999999999999943,,,,25.8,25.97,26.12,26.290000000000006,25.65,25.48,25.33,,,,,,,,,0.5937500000000034,,,,0.4982758620689655
2,2,2012-08-15,25.76,26.34,25.66,26.25,4704930,ADM,0.0,,,,,,,,,,,148722.24000000017,,,,,,,,0.4299999999999997,,,,26.08333333333333,26.506666666666664,26.763333333333332,27.186666666666664,25.826666666666664,25.40333333333333,25.146666666666665,,,,,,,,,0.8676470588235295,,,,0.496551724137931
3,3,2012-08-16,26.23,26.46,26.13,26.32,5912830,ADM,0.0,,,,,,,,,26.16030769230769,,875783.5,,,,,,,,0.07000000000000027,,,,26.30333333333333,26.476666666666667,26.633333333333336,26.806666666666665,26.14666666666666,25.97333333333333,25.81666666666666,,,,,,,0.601779812479611,,0.5757575757575764,,,,0.49482758620689654
4,4,2012-08-17,26.33,26.41,26.08,26.17,4588910,ADM,-0.0,,,0.032790136211488165,0.5841360364171578,,,,,26.164028436018963,,9281.599999999802,,26.098000000000006,,,,,,-0.14999999999999858,,373517.4,,26.22,26.36,26.55,26.69,26.03,25.89,25.7,0.00925568839182422,,0.6573544261191517,,0.21393924371185447,,0.47546106499175,,0.27272727272728153,,,,0.49310344827586206
5,5,2012-08-20,26.15,26.56,26.06,26.51,4647239,ADM,0.0,,,0.03870200564422698,0.7917594583432085,,,,,26.29045112781955,,-240462.2900000016,,26.214000000000002,,,,,,0.33999999999999986,,1302965.2,,26.376666666666665,26.69333333333333,26.87666666666667,27.19333333333333,26.19333333333333,25.876666666666665,25.69333333333333,0.02672347017815652,,0.7692447184694884,,0.2536335939894415,,0.6305933374834884,,0.9000000000000057,,,,0.49137931034482757
6,6,2012-08-21,26.57,26.77,26.27,26.32,3967510,ADM,-0.0,,,0.01912553437720107,0.5119220462318774,,,,,26.300913064594468,,-93209.99999999913,,26.314,,,,,,-0.19000000000000128,,1341715.8,,26.45333333333333,26.63666666666667,26.95333333333333,27.13666666666667,26.13666666666667,25.95333333333333,25.63666666666667,0.002666666666666677,,0.8592985160278059,,0.12581732790041722,,0.4427339188212923,,0.10000000000000142,,,,0.4896551724137931
7,7,2012-08-22,26.32,26.4,26.1,26.27,3619702,ADM,0.0,,,0.01878134226805366,0.4028904978761063,,,,,26.290190325138784,,246608.88000000204,,26.318,,,,,,-0.05000000000000071,,-323210.6,,26.256666666666664,26.41333333333333,26.556666666666665,26.713333333333324,26.11333333333333,25.95666666666667,25.81333333333333,-0.0018996960486322453,,0.5957872241382978,,0.12357184145265905,,0.4857221693427565,,0.5666666666666659,,,,0.4879310344827586
8,8,2012-08-23,26.25,26.32,26.13,26.21,2981630,ADM,-0.0,,,0.020168784963757562,0.3378454928576601,,,,-260263.1821395953,26.262746335611087,,108446.79999999944,,26.296000000000006,,,,,,-0.05999999999999873,,-2102102.6,,26.22,26.31,26.41,26.5,26.12,26.03,25.93,0.0015284677111195696,,0.5957872241382978,,0.13258959235174225,,0.4635899468573199,,0.4210526315789543,,,,0.4862068965517241
9,9,2012-08-24,26.19,26.44,26.0,26.38,2942024,ADM,0.0,,,0.01742890430914464,0.5914947998821,,,,505111.6787235607,26.302520637656183,,-74544.57999999961,,26.338,,,,,,0.16999999999999815,,-595915.8,,26.27333333333333,26.54666666666666,26.71333333333333,26.98666666666666,26.106666666666662,25.83333333333333,25.666666666666657,-0.0049038098830630926,,0.4081776813618167,,0.11476062042356287,,0.5992920342586439,,0.8636363636363589,,,,0.4844827586206897
10,10,2012-08-27,26.38,26.53,26.23,26.42,3252664,ADM,0.0,,,0.012760528589474088,0.7977456670876787,,,,387142.26344326156,26.34213844739261,,56917.140000000225,,26.320000000000004,,,,,,0.0400000000000027,,-874830.8,,26.39333333333333,26.55666666666667,26.69333333333333,26.85666666666667,26.25666666666667,26.09333333333333,25.95666666666667,0.003799392097264492,,0.5465673624827252,0.5800533782849943,0.08396427811873951,,0.6107718523561858,,0.6333333333333361,0.0004412960471080117,,,0.4827586206896552
11,11,2012-08-28,26.36,26.76,26.34,26.37,3775850,ADM,-0.0,,,0.013200263727295066,0.6150870675296666,,,,-930179.482458287,26.35149776711641,,-8338.259999998341,,26.330000000000005,,,,,,-0.05000000000000071,,-836498.8,,26.49,26.64,26.91,27.06,26.219999999999995,26.07,25.799999999999994,0.003806623524933438,,0.753115052863058,0.698261599192248,0.0868907359849198,,0.4295943609862408,,0.07142857142857384,0.000498504366264578,,,0.4810344827586207
12,12,2012-08-29,26.5,26.66,26.42,26.58,3087212,ADM,0.0,,,0.020032453406213745,0.8555915281045796,,,,-78777.4409685159,26.428058565150035,,-26472.31999999944,,26.392000000000003,,,,,,0.2099999999999973,,504884.0,,26.55333333333333,26.68666666666666,26.79333333333333,26.92666666666666,26.446666666666665,26.31333333333333,26.206666666666663,0.014116749332315812,,0.753115052863058,0.698261599192248,0.1321741275741983,,0.509026604100527,,0.6666666666666567,0.0008074519746695515,,,0.4793103448275862
13,13,2012-08-30,26.41,26.6,26.35,26.53,3361180,ADM,0.0,,0.33773759443935103,0.01420745081443433,0.6968753651419464,,,,411789.353923792,26.46215584322948,,-66347.20000000006,,26.456,,,,,0.5714285714285714,-0.049999999999997165,,428974.0,,26.493333333333336,26.63666666666667,26.74333333333333,26.88666666666667,26.38666666666667,26.243333333333336,26.13666666666667,0.00568612585291896,,0.5921983764834569,0.623640838156043,0.09396807968666868,,0.5795927929906095,,0.7199999999999989,0.0009843617185749014,,,0.47758620689655173
14,14,2012-08-31,26.63,27.06,26.6,26.75,4528649,ADM,-0.0,,0.3667657098195059,0.02243931559161251,0.8695522273758712,,,,-370616.33045606315,26.558323509571963,,245044.29000000245,,26.53,,,,,0.6428571428571429,0.21999999999999886,,746299.0,,26.80333333333333,27.00666666666666,27.263333333333332,27.466666666666654,26.546666666666663,26.34333333333333,26.086666666666666,0.01249053747161235,,0.8624961380451185,0.7943336461440306,0.14882876066136996,,0.4948974322407815,,0.326086956521738,0.0013617183781144376,,,0.47586206896551725
15,15,2012-09-04,26.77,26.98,26.6,26.88,4759374,ADM,0.0,,0.3687291937823531,0.029736927772618868,0.8258989257084042,,,,535044.0020888159,26.665712499550683,,489367.89999999705,,26.622000000000003,,,,,0.7142857142857143,0.129999999999999,,1047641.0,,26.82,27.039999999999992,27.2,27.41999999999999,26.659999999999997,26.44,26.279999999999994,0.01934015927189981,,0.8624961380451185,0.7943336461440307,0.19791412279066486,,0.5756686257838033,,0.7368421052631534,0.0018265808560265473,,,0.47413793103448276
