,Unnamed: 0,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13,Target
0,0,2012-08-13,35.85,35.93,35.46,35.74,1750483,AKAM,0.0,,,,,,,,,,,,,,,,,,,,,,,35.71,35.96,36.18,36.43,35.49,35.24,35.02,,,,,,,,,0.5957446808510677,0.0,0.0,,0.5
1,1,2012-08-14,35.87,35.95,35.02,35.44,2191109,AKAM,-0.0,,,,,,,,,,,,,,,,,,,-0.30000000000000426,,,,35.47,35.91999999999999,36.4,36.85,34.989999999999995,34.54,34.059999999999995,,,,,,,,,0.4516129032258008,,,,0.49855282199710566
2,2,2012-08-15,35.5,37.38,35.5,36.8,5079284,AKAM,0.0,,,,,,,,,,,3528529.0599999838,,,,,,,,1.3599999999999994,,,,36.56,37.61999999999999,38.44,39.49999999999999,35.73999999999999,34.67999999999999,33.859999999999985,,,,,,,,,0.6914893617021252,,,,0.4971056439942113
3,3,2012-08-16,37.13,37.94,36.55,37.81,4657302,AKAM,0.0,,,,,,,,,36.838,,5844877.410000011,,,,,,,,1.0100000000000051,,,,37.43333333333333,38.316666666666656,38.823333333333345,39.706666666666656,36.926666666666655,36.04333333333333,35.536666666666655,,,,,,,0.7247221683083291,,0.9064748201438882,,,,0.4956584659913169
4,4,2012-08-17,37.75,37.89,37.33,37.55,2549594,AKAM,-0.0,,,0.1153008213618984,0.7086166472319384,,,,,37.111327014218006,,-1897267.5,,36.668000000000006,,,,,,-0.2600000000000051,,999176.6,,37.59,37.85,38.14999999999999,38.41,37.28999999999999,37.03,36.72999999999999,0.05064353665360926,,0.8756921686066225,,1.056962629424523,,0.5973237462156922,,0.3928571428571392,,,,0.49421128798842257
5,5,2012-08-20,37.53,37.59,36.79,37.05,2664736,AKAM,-0.0,,,0.10000935193631404,0.532490868866997,,,,,37.08891729323308,,1514350.1600000104,,36.93000000000001,,,,,,-0.5,,466229.4,,37.14333333333333,37.496666666666655,37.943333333333335,38.29666666666667,36.69666666666666,36.34333333333333,35.896666666666654,0.04542889390519186,,0.5521134066159558,,0.9233363417520196,,0.4978129637639415,,0.3249999999999958,,,,0.4927641099855282
6,6,2012-08-21,37.31,37.72,37.24,37.43,2416705,AKAM,-0.0,,,0.043132991897013584,0.5633513489060843,,,,,37.209679456046636,,15946.679999999658,,37.32800000000001,,,,,,0.38000000000000256,,1387792.2,,37.463333333333345,37.68666666666668,37.943333333333335,38.16666666666667,37.20666666666668,36.98333333333334,36.72666666666668,0.017119565217391376,,0.6017154564429962,,0.4025170803829309,,0.4617065283176496,,0.3958333333333312,,,,0.4913169319826339
7,7,2012-08-22,37.2,38.02,37.1,37.96,2477274,AKAM,0.0,,,0.03763705441335899,0.7829559174871392,,,,,37.46994131641555,,-170590.42000000068,,37.560000000000024,,,,,,0.5300000000000011,,867390.2,,37.693333333333335,38.28666666666667,38.613333333333344,39.20666666666667,37.36666666666667,36.77333333333333,36.446666666666665,0.003967204443268938,,0.7066687073966511,,0.3534119409414411,,0.6258012765788211,,0.9347826086956498,,,,0.48986975397973953
8,8,2012-08-23,37.64,37.72,36.77,37.13,1899935,AKAM,-0.0,,,0.03888848059531493,0.297988473356552,,,,-233041.8471610294,37.353601272755725,,155030.99999999854,,37.424000000000014,,,,,,-0.8299999999999983,,-444057.2,,37.20666666666667,37.643333333333345,38.15666666666667,38.59333333333333,36.69333333333334,36.25666666666668,35.74333333333335,-0.011185086551264836,,0.5026771119143691,,0.3638406244497666,,0.541319064309085,,0.37894736842105375,,,,0.48842257597684513
9,9,2012-08-24,37.03,37.42,36.89,37.1,1884711,AKAM,-0.0,,,0.04073188130392739,0.3461218824618478,,,,-368826.44853836537,37.267575700129264,,509604.1799999997,,37.334000000000024,,,,,,-0.030000000000001137,,-311080.6,,37.136666666666656,37.38333333333333,37.66666666666667,37.91333333333333,36.85333333333333,36.606666666666655,36.32333333333332,0.0013495276653172539,,0.5026771119143691,,0.3801710141502064,,0.4921013372174208,,0.3962264150943404,,,,0.4869753979739508
