,Unnamed: 0,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13,Target
0,0,2012-08-13,54.25,54.52,53.97,54.32,806589,AMP,0.0,,,,,,,,,,,,,,,,,,,,,,,54.27,54.57000000000001,54.82000000000001,55.12000000000001,54.02,53.72,53.47,,,,,,,,,0.636363636363634,0.0,0.0,,0.5
1,1,2012-08-14,54.76,54.85,54.2,54.34,946057,AMP,-0.0,,,,,,,,,,,,,,,,,,,0.02000000000000313,,,,54.46333333333334,54.72666666666667,55.11333333333333,55.37666666666667,54.07666666666668,53.81333333333334,53.42666666666668,,,,,,,,,0.21538461538461676,,,,0.4983164983164983
2,2,2012-08-15,54.26,54.51,54.05,54.39,819405,AMP,0.0,,,,,,,,,,,897.1200000000036,,,,,,,,0.049999999999997165,,,,54.31666666666666,54.58333333333333,54.776666666666664,55.04333333333333,54.12333333333333,53.85666666666666,53.66333333333333,,,,,,,,,0.7391304347826148,,,,0.49663299663299665
3,3,2012-08-16,54.44,55.16,54.2,54.94,1257456,AMP,0.0,,,,,,,,,54.600615384615395,,186839.39999999825,,,,,,,,0.5499999999999972,,,,54.76666666666667,55.33333333333334,55.72666666666667,56.29333333333334,54.37333333333335,53.80666666666668,53.413333333333355,,,,,,,0.6429595738709466,,0.770833333333333,,,,0.494949494949495
4,4,2012-08-17,55.1,55.37,54.97,55.3,952816,AMP,0.0,,,0.032293233697295066,0.8637221556234543,,,,,54.86909952606636,,121404.00999999954,,54.658,,,,,,0.35999999999999943,,795146.8,,55.21333333333333,55.45666666666666,55.61333333333333,55.85666666666666,55.05666666666666,54.81333333333333,54.65666666666666,0.018041237113402005,,0.9121427137023864,,0.44127089185668855,,0.7128423914844689,,0.8249999999999986,,,,0.49326599326599324
5,5,2012-08-20,55.07,55.27,54.74,55.0,594734,AMP,-0.0,,,0.03030012481444317,0.6240765752158608,,,,,54.91693233082707,,-39763.32000000151,,54.794,,,,,,-0.2999999999999972,,676200.0,,55.00333333333333,55.26666666666666,55.53333333333334,55.79666666666666,54.73666666666666,54.47333333333333,54.20666666666666,0.012145748987854187,,0.6659645281580355,,0.41506625977064976,,0.6316196035733175,,0.4905660377358442,,,,0.49158249158249157
6,6,2012-08-21,55.0,55.79,54.64,54.87,723134,AMP,-0.0,,,0.02396077763556291,0.4771940587345267,,,,,54.90031568722681,,98763.25999999994,,54.9,,,,,,-0.13000000000000256,,342361.8,,55.1,55.56,56.25,56.71,54.41,53.95,53.26000000000001,0.008825151682294481,,0.8198551524515438,,0.3288616730481009,,0.4788023665626569,,0.19999999999999754,,,,0.4898989898989899
7,7,2012-08-22,54.68,55.09,54.4,54.82,596136,AMP,0.0,,,0.013702495533228436,0.27967879858586425,,,,,54.872456780333074,,-252.3599999999996,,54.986,,,,,,-0.049999999999997165,,59253.6,,54.77,55.14000000000001,55.46000000000002,55.83000000000001,54.45,54.08,53.76,-0.0021842009464870305,,0.6317833510077916,,0.1883613548475247,,0.5238581343075916,,0.6086956521739113,,,,0.4882154882154882
8,8,2012-08-23,54.76,54.96,54.33,54.4,568181,AMP,-0.0,,,0.023755537673531547,0.1333389677660786,,,,-196068.46000625548,54.71076521829848,,72827.90999999983,,54.878,,,,,,-0.4200000000000017,,-305873.8,,54.56333333333333,54.79666666666667,55.19333333333334,55.42666666666667,54.16666666666666,53.93333333333333,53.53666666666666,-0.016274864376130176,,0.5776726461179286,,0.3259140991120161,,0.3826013809200736,,0.1111111111111111,,,,0.48653198653198654
9,9,2012-08-24,54.24,55.3,54.11,55.18,893966,AMP,0.0,,,0.021106774348958118,0.7815706806852141,,,,114115.05187203788,54.86993709607928,,107218.79999999984,,54.854,,,,,,0.7800000000000011,,-317643.8,,54.86333333333334,55.61666666666667,56.05333333333333,56.80666666666667,54.42666666666668,53.67333333333334,53.23666666666668,0.0032727272727272674,,0.7331101887331756,,0.2894477500344372,,0.5578261406480489,,0.8991596638655481,,,,0.48484848484848486
10,10,2012-08-27,55.25,55.32,54.06,54.15,1184007,AMP,-0.0,,,0.029823212233652863,0.17256389671794672,,,,-283845.07489439053,54.62715121160029,,-153956.5,,54.68399999999999,,,,,,-1.0300000000000011,,-435498.4,,54.51,54.96,55.77,56.21999999999999,53.7,53.25,52.44,-0.013121924548933824,,0.6814716850786048,0.7020777404069225,0.4077131344462682,,0.3937972766063292,,0.07142857142856861,-0.0005258114690476883,,,0.4831649831649832
11,11,2012-08-28,54.05,54.84,53.93,54.47,969296,AMP,0.0,,,0.02939604677843768,0.41651827573634104,,,,-57959.05528856705,54.57436059884896,,-53484.30000000006,,54.604,,,,,,0.3200000000000003,,-97012.4,,54.41333333333333,54.89666666666667,55.32333333333333,55.80666666666667,53.98666666666666,53.50333333333333,53.07666666666666,-0.006384531192995283,,0.5424033792538954,0.6274260543969447,0.4012854345724528,,0.4608505181146697,,0.5934065934065901,-0.0007325317119938176,,,0.4814814814814815
