,Unnamed: 0,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13,Target
0,0,2012-08-13,145.06,145.15,143.18,144.54,593875,BIIB,0.0,,,,,,,,,,,,,,,,,,,,,,,144.29,145.39999999999995,146.26,147.36999999999995,143.42999999999995,142.32,141.45999999999995,,,,,,,,,0.6903553299492314,0.0,0.0,,0.5
1,1,2012-08-14,145.03,145.9,144.29,145.5,512635,BIIB,0.0,,,,,,,,,,,,,,,,,,,0.9600000000000078,,,,145.23,146.17,146.84,147.78,144.55999999999997,143.61999999999995,142.94999999999996,,,,,,,,,0.7515527950310544,,,,0.4909090909090909
2,2,2012-08-15,145.03,147.52,145.02,146.87,517870,BIIB,0.0,,,,,,,,,,,-177091.65000000093,,,,,,,,1.3700000000000043,,,,146.47,147.92,148.97,150.42,145.42,143.97,142.92,,,,,,,,,0.7399999999999978,,,,0.4818181818181818
3,3,2012-08-16,147.4,147.75,145.85,146.84,465239,BIIB,0.0,,,,,,,,,146.31784615384615,,-63510.64000000017,,,,,,,,-0.030000000000001137,,,,146.8133333333334,147.77666666666673,148.7133333333334,149.6766666666667,145.87666666666672,144.91333333333338,143.97666666666672,,,,,,,0.6450753420399712,,0.5210526315789505,,,,0.4727272727272727
4,4,2012-08-17,147.34,147.34,144.62,145.09,902034,BIIB,-0.0,,,0.02879029326189435,0.3384446256121053,,,,,145.84649289099525,,-683811.9200000004,,145.768,,,,,,-1.75,,-67353.6,,145.68333333333337,146.74666666666673,148.40333333333336,149.46666666666673,144.02666666666673,142.96333333333337,141.30666666666673,0.003805175038051829,,0.5068440309062654,,1.0491758670499538,,0.4637730710644929,,0.1727941176470585,,,,0.4636363636363636
5,5,2012-08-20,145.19,145.19,143.8,144.69,694287,BIIB,0.0,,,0.0276152885634422,0.22480622348015775,,,,,145.4238947368421,,-492453.20000000135,,145.798,,,,,,-0.4000000000000057,,-206211.0,,144.56,145.32,145.95,146.70999999999995,143.93,143.17000000000004,142.54000000000005,-0.005567010309278366,,0.34708714160611154,,1.0065634604931866,,0.5282739308973972,,0.6402877697841691,,,,0.45454545454545453
6,6,2012-08-21,144.27,144.83,143.28,143.97,924369,BIIB,-0.0,,,0.035944509738275114,0.20896650547804774,,,,,144.90913550267118,,-25015.200000000103,,145.49200000000005,,,,,,-0.7199999999999989,,-493611.8,,144.02666666666667,144.77333333333334,145.57666666666668,146.32333333333338,143.22333333333333,142.47666666666666,141.67333333333332,-0.019745353033294787,,0.2711966853960828,,1.3074096527102803,,0.4988474544626985,,0.4451612903225759,,,,0.44545454545454544
7,7,2012-08-22,143.83,145.8,143.51,144.92,799103,BIIB,0.0,,,0.0292555219543403,0.4571263815578929,,,,,144.91290404440917,,24107.679999998927,,145.102,,,,,,0.9499999999999886,,-437365.2,,144.74333333333334,145.9766666666667,147.0333333333334,148.26666666666668,143.68666666666667,142.45333333333332,141.39666666666662,-0.013075456278943177,,0.5360930289620985,,1.0612586866546716,,0.5393869315628197,,0.6157205240174602,,,,0.4363636363636364
8,8,2012-08-23,144.67,145.67,144.13,145.15,519521,BIIB,0.0,,,0.013219144168895674,0.7017081243380807,,,,53600.931102291295,144.9940467372594,,-477720.6400000028,,144.76399999999995,,,,,,0.2300000000000182,,-240413.2,,144.98333333333332,145.83666666666662,146.5233333333333,147.3766666666666,144.29666666666662,143.44333333333333,142.75666666666666,0.00041353642566684313,,0.5360930289620986,,0.4784140466165033,,0.5814650570968978,,0.6623376623376724,,,,0.42727272727272725
9,9,2012-08-24,144.92,147.79,144.87,147.03,606875,BIIB,0.0,,,0.031393822496139666,0.9121244355399032,,,,93288.02650749734,145.68467436449802,,-405601.0800000026,,145.15200000000002,,,,,,1.8799999999999957,,61368.6,,146.56333333333333,148.2566666666666,149.48333333333332,151.1766666666666,145.33666666666662,143.64333333333332,142.41666666666663,0.0161725067385445,,0.8185730208139432,,1.139219030739916,,0.6351496874876271,,0.7397260273972622,,,,0.4181818181818182
