,Unnamed: 0,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13,Target
0,0,2012-08-13,9.06,9.28,8.99,9.26,8650215,DAL,0.0,,,,,,,,,,,,,,,,,,,,,,,9.176666666666668,9.363333333333337,9.466666666666667,9.653333333333334,9.073333333333336,8.886666666666667,8.783333333333337,,,,,,,,,0.931034482758622,0.0,0.0,,0.5
1,1,2012-08-14,9.26,9.47,9.21,9.28,10919514,DAL,-0.0,,,,,,,,,,,,,,,,,,,0.01999999999999957,,,,9.32,9.43,9.579999999999998,9.69,9.17,9.06,8.91,,,,,,,,,0.2692307692307637,,,,0.49836867862969003
2,2,2012-08-15,9.22,9.3,9.17,9.26,7577175,DAL,0.0,,,,,,,,,,,-0.0,,,,,,,,-0.01999999999999957,,,,9.243333333333332,9.316666666666665,9.373333333333333,9.446666666666664,9.186666666666664,9.113333333333333,9.056666666666663,,,,,,,,,0.6923076923076871,,,,0.4967373572593801
3,3,2012-08-16,9.27,9.33,9.02,9.03,9995794,DAL,-0.0,,,,,,,,,9.168153846153846,,230930.0,,,,,,,,-0.23000000000000045,,,,9.126666666666667,9.233333333333334,9.436666666666667,9.543333333333337,8.923333333333334,8.816666666666666,8.613333333333333,,,,,,,0.3694084814817227,,0.032258064516128296,,,,0.49510603588907015
4,4,2012-08-17,9.13,9.18,9.04,9.13,12886092,DAL,0.0,,,0.04721045728499738,0.3571292032256321,,,,,9.15350710900474,,-690159.2099999947,,9.192,,,,,,0.10000000000000142,,1246527.4,,9.116666666666667,9.193333333333337,9.256666666666668,9.333333333333336,9.053333333333336,8.976666666666668,8.913333333333334,-0.014038876889848706,,0.351851851851852,,0.108489630840924,,0.4743816642846125,,0.6428571428571519,,,,0.4934747145187602
5,5,2012-08-20,9.1,9.5,9.1,9.46,14689544,DAL,0.0,,,0.07062524586473126,0.8496866708686703,,,,,9.2655037593985,,2018312.500000007,,9.232,,,,,,0.3300000000000001,,4184436.2,,9.353333333333332,9.606666666666667,9.753333333333332,10.006666666666668,9.206666666666667,8.953333333333333,8.806666666666667,0.01939655172413809,,0.8021829954242095,,0.16300306745579976,,0.6299083644031686,,0.9000000000000022,,,,0.49184339314845027
6,6,2012-08-21,9.53,9.93,9.48,9.71,24100015,DAL,0.0,,,0.11667326052298613,0.8605720227162991,,,,,9.422880038853817,,6504075.340000002,,9.318,,,,,,0.25,,6820536.4,,9.706666666666667,9.933333333333334,10.156666666666666,10.383333333333333,9.483333333333334,9.256666666666668,9.033333333333337,0.04859611231101524,,0.9142567757725508,,0.27179036038829624,,0.5878475593279338,,0.5111111111111128,,,,0.4902120717781403
7,7,2012-08-22,9.64,9.7,9.38,9.53,10371356,DAL,-0.0,,,0.12118506728315899,0.6391155569270073,,,,,9.460036478984934,,-302273.1599999936,,9.372000000000002,,,,,,-0.1800000000000015,,6261700.2,,9.536666666666667,9.693333333333333,9.856666666666664,10.013333333333332,9.373333333333337,9.216666666666667,9.053333333333336,0.05537098560354375,,0.771877062086466,,0.2839366126444416,,0.5465364788758805,,0.4687499999999977,,,,0.48858075040783033
8,8,2012-08-23,9.5,9.57,9.07,9.15,11852146,DAL,-0.0,,,0.10683617021885676,0.2549392334644016,,,,-2879861.1032651863,9.353930937353296,,6858806.640000006,,9.396,,,,,,-0.37999999999999895,,5890429.8,,9.263333333333334,9.456666666666667,9.763333333333335,9.956666666666667,8.956666666666667,8.763333333333334,8.456666666666667,0.002190580503833469,,0.4605801237921536,,0.2509581638440945,,0.4142499086445597,,0.16000000000000014,,,,0.48694942903752036
9,9,2012-08-24,9.2,9.22,9.09,9.11,7277172,DAL,-0.0,,,0.10918190932991,0.22499515856638108,,,,-2747640.4554242697,9.271185695820767,,1299557.2799999998,,9.392000000000001,,,,,,-0.040000000000000924,,1857777.0,,9.14,9.19,9.27,9.320000000000002,9.06,9.01,8.93,-0.036997885835095286,,0.4605801237921535,,0.2563591231066287,,0.32591682625426066,,0.15384615384614966,,,,0.48531810766721045
10,10,2012-08-27,9.14,9.21,9.05,9.06,6969274,DAL,-0.0,,,0.12458525803640895,0.28278444740071434,,,,-2740683.647844741,9.19996710432384,,439458.4799999993,,9.312,,,,,,-0.04999999999999893,,-2473986.6,,9.106666666666667,9.163333333333334,9.26666666666667,9.323333333333334,9.003333333333334,8.946666666666667,8.843333333333334,-0.06694129763130796,,0.41795099594979096,0.5139842822782478,0.29003448070876003,,0.2370842219933116,,0.06249999999999861,-0.002269100273088245,,,0.4836867862969005
