,Unnamed: 0,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13,Target
0,0,2012-08-13,198.88,199.98,197.79,199.01,2418289,IBM,0.0,,,,,,,,,,,,,,,,,,,,,,,198.92666666666665,200.06333333333333,201.11666666666665,202.25333333333333,197.8733333333333,196.73666666666665,195.6833333333333,,,,,,,,,0.5570776255707763,0.0,0.0,,0.5
1,1,2012-08-14,198.88,199.33,197.72,198.29,2562255,IBM,-0.0,,,,,,,,,,,,,,,,,,,-0.7199999999999989,,,,198.4466666666667,199.17333333333335,200.05666666666667,200.7833333333334,197.56333333333336,196.83666666666667,195.95333333333332,,,,,,,,,0.3540372670807381,,,,0.49310344827586206
2,2,2012-08-15,198.9,199.33,197.92,198.4,2111828,IBM,-0.0,,,,,,,,,,,186941.20999999548,,,,,,,,0.11000000000001364,,,,198.55,199.18,199.96,200.59,197.76999999999995,197.14,196.35999999999996,,,,,,,,,0.3404255319149005,,,,0.4862068965517241
3,3,2012-08-16,198.77,201.32,198.12,200.84,2729453,IBM,0.0,,,,,,,,,199.4683076923077,,426354.9000000019,,,,,,,,2.4399999999999977,,,,200.09333333333333,202.06666666666663,203.29333333333332,205.26666666666665,198.86666666666667,196.89333333333332,195.66666666666669,,,,,,,0.581272735138513,,0.8500000000000026,,,,0.4793103448275862
4,4,2012-08-17,201.08,202.0,200.66,201.22,2551732,IBM,-0.0,,,0.02772920578716619,0.8014411449389549,,,,,200.14075829383887,,1240529.279999997,,199.55200000000002,,,,,,0.37999999999999545,,966151.6,,201.2933333333333,201.92666666666665,202.63333333333333,203.26666666666665,200.58666666666664,199.9533333333333,199.24666666666664,0.011104969599517655,,0.9880061408558828,,1.3833546183101468,,0.5185601982780258,,0.4179104477611947,,,,0.4724137931034483
5,5,2012-08-20,200.69,201.13,200.03,200.5,2335987,IBM,-0.0,,,0.027977377650570213,0.6162524726269641,,,,,200.27203007518798,,133778.44000000134,,199.85,,,,,,-0.7199999999999989,,498954.2,,200.5533333333333,201.07666666666665,201.65333333333328,202.17666666666665,199.97666666666663,199.4533333333333,198.87666666666664,0.011145292248726651,,0.6983952576676312,,1.3978197308666145,,0.4852025209031578,,0.4272727272727285,,,,0.46551724137931033
6,6,2012-08-21,200.99,201.0,198.37,198.65,3111357,IBM,-0.0,,,0.02607946327105804,0.256034804029332,,,,,199.69774162214668,,-1438236.2499999963,,199.92200000000003,,,,,,-1.8499999999999943,,389133.8,,199.34,200.31,201.97000000000003,202.94,197.68,196.71,195.05,0.0012600806451612905,,0.33555537885789305,,1.3034646140191166,,0.3511080719288881,,0.10646387832699683,,,,0.45862068965517244
7,7,2012-08-22,198.64,198.65,196.9,197.25,3296070,IBM,-0.0,,,0.033748679036190984,0.13765004287174326,,,,,198.84869944488503,,-3120269.75,,199.69200000000004,,,,,,-1.4000000000000057,,-692445.8,,197.6,198.3,199.35,200.05,196.55,195.85,194.8,-0.01787492531368255,,0.20409711732494132,,1.6848353035237629,,0.2986935829029586,,0.1999999999999968,,,,0.4517241379310345
8,8,2012-08-23,197.04,197.37,195.44,195.7,2758497,IBM,-0.0,,,0.04579095807498183,0.1741788340231845,,,,-675898.8474529008,197.77110218559284,,1040937.0000000059,,198.664,,,,,,-1.5500000000000114,,-1790035.8,,196.17,196.9,198.1,198.83,194.97,194.24,193.04,-0.027432660769307275,,0.13212414628580127,,2.2742537237520484,,0.24257427183664745,,0.13471502590673054,,,,0.44482758620689655
9,9,2012-08-24,194.96,198.11,194.2,197.77,2639463,IBM,0.0,,,0.03582346131449102,0.4712356566736519,,,,629047.5018525948,197.77072830676437,,-341435.6400000067,,197.974,,,,,,2.0700000000000216,,-1772489.6,,196.69333333333336,199.18666666666672,200.6033333333334,203.09666666666675,195.27666666666667,192.78333333333333,191.36666666666667,-0.013615960099750572,,0.09309077447566713,,1.7730284825687614,,0.4700080571024459,,0.9130434782608692,,,,0.4379310344827586
