,Unnamed: 0,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13,Target
0,0,2012-08-13,58.7,58.98,58.26,58.3,1849583,INTU,-0.0,,,,,,,,,,,,,,,,,,,,,,,58.51333333333333,58.76666666666666,59.23333333333333,59.48666666666666,58.04666666666666,57.79333333333333,57.32666666666666,,,,,,,,,0.055555555555554456,0.0,0.0,,0.5
1,1,2012-08-14,58.68,58.72,57.85,58.02,1881648,INTU,-0.0,,,,,,,,,,,,,,,,,,,-0.27999999999999403,,,,58.19666666666666,58.54333333333333,59.06666666666666,59.41333333333333,57.67333333333333,57.32666666666667,56.80333333333334,,,,,,,,,0.19540229885057725,,,,0.501410437235543
2,2,2012-08-15,58.16,59.32,57.94,59.2,1265708,INTU,0.0,,,,,,,,,,,-525487.5000000035,,,,,,,,1.1799999999999995,,,,58.81999999999999,59.69999999999999,60.19999999999999,61.07999999999999,58.31999999999999,57.43999999999999,56.93999999999998,,,,,,,,,0.9130434782608716,,,,0.502820874471086
3,3,2012-08-16,59.21,60.19,59.15,60.07,2103508,INTU,0.0,,,,,,,,,59.232769230769215,,454812.99999999936,,,,,,,,0.8699999999999974,,,,59.80333333333334,60.45666666666667,60.84333333333334,61.49666666666667,59.41666666666667,58.76333333333334,58.37666666666667,,,,,,,0.6632103080609615,,0.884615384615387,,,,0.504231311706629
4,4,2012-08-17,60.1,60.41,59.55,59.76,2934538,INTU,-0.0,,,0.06045739426990196,0.6932113766207945,,,,,59.43516587677724,,934544.799999992,,59.06999999999999,,,,,,-0.3100000000000023,,-289394.0,,59.90666666666666,60.26333333333334,60.76666666666666,61.12333333333334,59.40333333333334,59.04666666666667,58.54333333333334,0.025042881646655246,,0.8847952164725988,,0.8928045698807772,,0.5023526531533978,,0.24418604651162906,,,,0.5056417489421721
5,5,2012-08-20,59.57,59.9,59.13,59.35,1585782,INTU,-0.0,,,0.05284525296439915,0.5223451803314884,,,,,59.404045112781965,,372762.7199999994,,59.28,,,,,,-0.4099999999999966,,-606550.4,,59.46,59.79,60.23,60.56,59.02,58.69000000000001,58.25000000000001,0.02292312995518784,,0.6087907396867059,,0.7831666489323954,,0.4231900617433163,,0.2857142857142857,,,,0.5070521861777151
6,6,2012-08-21,59.61,59.84,58.71,58.95,2668131,INTU,-0.0,,,0.03011428997995002,0.211856818508642,,,,,59.2432880038854,,215789.6699999987,,59.466,,,,,,-0.3999999999999986,,-763847.0,,59.16666666666666,59.62333333333333,60.29666666666666,60.75333333333333,58.49333333333333,58.03666666666666,57.36333333333332,-0.0042229729729729715,,0.4237370244598572,,0.4476940919869269,,0.348554949259685,,0.21238938053097475,,,,0.5084626234132581
7,7,2012-08-22,58.91,59.93,57.92,59.65,5214808,INTU,0.0,,,0.02858049280918335,0.5552246051454856,,,,,59.384363203806494,,1088707.7999999898,,59.556000000000004,,,,,,0.6999999999999957,,25973.0,,59.16666666666666,60.41333333333333,61.17666666666666,62.42333333333333,58.40333333333333,57.15666666666666,56.39333333333333,-0.006991842850008353,,0.2353502834487757,,0.4255349574359309,,0.5262002481575687,,0.8606965174129346,,,,0.5098730606488011
8,8,2012-08-23,59.05,59.19,57.84,58.19,3322926,INTU,-0.0,,,0.04300364642267483,0.11099520792043156,,,,-50129.617920077064,58.97560951437067,,-497644.2000000033,,59.17999999999999,,,,,,-1.4600000000000009,,-1059313.8,,58.40666666666666,58.97333333333333,59.75666666666666,60.32333333333332,57.62333333333334,57.05666666666667,56.27333333333334,-0.02627175368139224,,0.22139578594987694,,0.6362389488234741,,0.43484352038323104,,0.2592592592592561,,,,0.5112834978843441
9,9,2012-08-24,58.26,58.58,57.92,58.43,2060059,INTU,0.0,,,0.04145968765067275,0.3018469208401761,,,,320203.9205376944,58.79053011632917,,3848793.779999997,,58.913999999999994,,,,,,0.24000000000000196,,-60394.4,,58.31,58.7,58.97,59.36,58.040000000000006,57.65000000000001,57.38000000000001,-0.015501263689974754,,0.22139578594987697,,0.6106390095629336,,0.549459046404563,,0.7727272727272737,,,,0.5126939351198871
