,Unnamed: 0,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13,Target
0,0,2012-08-13,28.91,28.95,28.6,28.86,1122686,KMX,0.0,,,,,,,,,,,,,,,,,,,,,,,28.80333333333333,29.00666666666666,29.15333333333333,29.356666666666662,28.656666666666666,28.45333333333333,28.306666666666665,,,,,,,,,0.7428571428571417,0.0,0.0,,0.5
1,1,2012-08-14,29.07,29.15,28.75,28.81,1435820,KMX,-0.0,,,,,,,,,,,,,,,,,,,-0.05000000000000071,,,,28.90333333333333,29.056666666666665,29.30333333333333,29.456666666666663,28.656666666666666,28.50333333333333,28.25666666666667,,,,,,,,,0.14999999999999733,,,,0.4984894259818731
2,2,2012-08-15,28.81,29.33,28.77,29.3,1217308,KMX,0.0,,,,,,,,,,,41633.680000000124,,,,,,,,0.490000000000002,,,,29.13333333333333,29.49666666666666,29.693333333333324,30.056666666666654,28.93666666666666,28.57333333333333,28.37666666666666,,,,,,,,,0.9464285714285756,,,,0.49697885196374625
3,3,2012-08-16,29.38,29.88,29.19,29.76,1217778,KMX,0.0,,,,,,,,,29.346461538461536,,-207139.90000000058,,,,,,,,0.4600000000000009,,,,29.61,30.03,30.299999999999994,30.719999999999995,29.34,28.92,28.65,,,,,,,0.7243526039178231,,0.8260869565217422,,,,0.4954682779456193
4,4,2012-08-17,29.8,30.06,29.72,29.98,1168171,KMX,0.0,,,0.07145216911861353,0.8043095266374836,,,,,29.5896682464455,,-33413.15999999999,,29.342,,,,,,0.21999999999999886,,433487.4,,29.92,30.120000000000005,30.260000000000005,30.460000000000004,29.780000000000005,29.58,29.440000000000005,0.03880803880803884,,1.0,,0.5241373865695896,,0.739843672890548,,0.7647058823529461,,,,0.49395770392749244
5,5,2012-08-20,29.88,29.95,29.57,29.7,832255,KMX,-0.0,,,0.0626163847506665,0.6028244516338187,,,,,29.629984962406017,,23131.380000000878,,29.51,,,,,,-0.28000000000000114,,267036.4,,29.74,29.91,30.12,30.29,29.53,29.36,29.15,0.030892051371051738,,0.7783828687465403,,0.4619523784980422,,0.59450467504839,,0.34210526315789297,,,,0.49244712990936557
6,6,2012-08-21,29.79,30.01,29.6,29.81,1585421,KMX,0.0,,,0.03390017721175062,0.5992876838486924,,,,,29.69372025254978,,-70932.50000000071,,29.71,,,,,,0.10999999999999943,,871284.6,,29.80666666666667,30.013333333333332,30.21666666666667,30.423333333333336,29.60333333333333,29.39666666666667,29.19333333333333,0.017406143344709833,,0.8028502548741417,,0.25179356624027777,,0.5653625360450669,,0.5121951219512128,,,,0.4909365558912387
7,7,2012-08-22,29.79,30.02,29.65,29.9,1859379,KMX,0.0,,,0.0149319862228074,0.6571546392734408,,,,,29.76527200634417,,205424.79999999926,,29.83,,,,,,0.08999999999999986,,999698.8,,29.856666666666666,30.06333333333333,30.22666666666667,30.43333333333333,29.69333333333333,29.486666666666665,29.32333333333333,0.004704301075268718,,0.8078014621924703,,0.11135528725658618,,0.6036265862230427,,0.6756756756756739,,,,0.48942598187311176
8,8,2012-08-23,29.81,29.81,29.42,29.55,981625,KMX,-0.0,,,0.022697277443480185,0.14798445240685154,,,,-158613.47395297122,29.691598247352772,,156986.9599999988,,29.788000000000004,,,,,,-0.3499999999999979,,559818.2,,29.59333333333333,29.766666666666666,29.98333333333333,30.156666666666666,29.37666666666667,29.203333333333337,28.986666666666668,-0.014342895263508997,,0.4466275965646199,,0.16902662512159694,,0.5111225941407631,,0.3333333333333333,,,,0.4879154078549849
9,9,2012-08-24,29.41,29.87,29.33,29.81,1000243,KMX,0.0,,,0.018051466761159023,0.6042629892978558,,,,93232.6260694883,29.731761999138303,,77322.23999999987,,29.75400000000001,,,,,,0.259999999999998,,526232.6,,29.67,30.010000000000005,30.210000000000008,30.550000000000008,29.47,29.13,28.93,0.003703703703703685,,0.35875517966741943,,0.13427583550288144,,0.6392669108926337,,0.8888888888888853,,,,0.486404833836858
