,Unnamed: 0,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13,Target
0,0,2012-08-13,8.75,8.75,8.36,8.56,33334350,NFLX,0.0,,,,,,,,,,,,,,,,,,,,,,,8.556666666666667,8.753333333333334,8.946666666666664,9.143333333333334,8.363333333333333,8.166666666666666,7.973333333333333,,,,,,,,,0.5128205128205148,0.0,0.0,,0.5
1,1,2012-08-14,8.66,9.01,8.57,8.82,48125371,NFLX,0.0,,,,,,,,,,,,,,,,,,,0.2599999999999998,,,,8.799999999999997,9.029999999999998,9.239999999999998,9.469999999999997,8.589999999999998,8.36,8.149999999999999,,,,,,,,,0.5681818181818188,,,,0.4973958333333333
2,2,2012-08-15,8.86,9.1,8.83,9.04,30847810,NFLX,0.0,,,,,,,,,,,-1193539.199999997,,,,,,,,0.21999999999999886,,,,8.99,9.15,9.26,9.42,8.88,8.72,8.610000000000001,,,,,,,,,0.7777777777777756,,,,0.4947916666666667
3,3,2012-08-16,9.07,9.23,8.97,9.19,17640413,NFLX,0.0,,,,,,,,,9.002615384615384,,-11279434.459999975,,,,,,,,0.15000000000000036,,,,9.13,9.29,9.39,9.55,9.03,8.870000000000003,8.770000000000001,,,,,,,0.7348753810292253,,0.8461538461538425,,,,0.4921875
4,4,2012-08-17,9.27,9.36,9.07,9.1,22418914,NFLX,-0.0,,,0.113360166837411,0.6558697881052445,,,,,9.04,,-505733.7600000042,,8.942,,,,,,-0.08999999999999986,,14838936.0,,9.176666666666668,9.283333333333337,9.466666666666667,9.573333333333334,8.993333333333336,8.886666666666667,8.703333333333337,0.0630841121495326,,1.0,,0.2534166529650323,,0.4924791937375675,,0.10344827586206706,,,,0.4895833333333333
5,5,2012-08-20,9.09,9.34,8.88,9.18,26668194,NFLX,0.0,,,0.06644553486703382,0.689244529811282,,,,,9.091157894736842,,-90277.80999999806,,9.066,,,,,,0.08000000000000007,,20172574.8,,9.133333333333333,9.386666666666663,9.593333333333332,9.846666666666664,8.926666666666666,8.673333333333334,8.466666666666667,0.04081632653061218,,0.5774610055203588,,0.15059880477613216,,0.5508338054538623,,0.6521739130434773,,,,0.4869791666666667
6,6,2012-08-21,9.31,9.52,9.24,9.37,23370613,NFLX,-0.0,,,0.05432407176869775,0.8891849260086159,,,,,9.18988343856241,,256958.7299999996,,9.175999999999998,,,,,,0.1899999999999995,,15221623.2,,9.376666666666663,9.51333333333333,9.656666666666665,9.79333333333333,9.23333333333333,9.096666666666666,8.953333333333333,0.03650442477876107,,0.7292145982767179,,0.1246194206373926,,0.5201909892996216,,0.4642857142857118,,,,0.484375
7,7,2012-08-22,9.3,9.49,9.26,9.34,18036900,NFLX,-0.0,,,0.049625903891315055,0.7269033902674301,,,,,9.24195400475813,,-1381007.0400000012,,9.236,,,,,,-0.029999999999999364,,5444681.2,,9.363333333333333,9.466666666666667,9.593333333333332,9.696666666666667,9.236666666666666,9.133333333333333,9.006666666666666,0.01632208922742115,,0.7292145982767179,,0.11458621208504648,,0.460403195259279,,0.3478260869565214,,,,0.4817708333333333
8,8,2012-08-23,9.43,9.49,9.08,9.15,32590236,NFLX,-0.0,,,0.05196139351015385,0.33733046422097146,,,,-7856293.3233628925,9.210484064472384,,-2028317.0599999896,,9.228,,,,,,-0.1899999999999995,,-4601448.6,,9.24,9.4,9.65,9.81,8.99,8.83,8.58,0.005494505494505573,,0.4279609147921558,,0.11987493482792493,,0.3612672799502807,,0.1707317073170738,,,,0.4791666666666667
9,9,2012-08-24,9.01,9.11,8.84,9.02,26165559,NFLX,0.0,,,0.06257837915867515,0.16693960781334555,,,,-178486.93739241525,9.14586884963378,,-2601170.8800000018,,9.212,,,,,,-0.13000000000000078,,-5350777.6,,8.99,9.14,9.260000000000002,9.41,8.870000000000003,8.72,8.600000000000001,-0.01742919389978215,,0.24162764503579684,,0.14411800720242884,,0.4648635941034668,,0.6666666666666666,,,,0.4765625
10,10,2012-08-27,9.05,9.14,8.89,8.91,18047407,NFLX,-0.0,,,0.08699423078495379,0.18871328294193274,,,,-4141874.3351605376,9.066326306832137,,3490278.960000003,,9.158,,,,,,-0.10999999999999943,,-14293897.8,,8.98,9.07,9.23,9.32,8.82,8.73,8.57,-0.04909284951974377,,0.2953204410743129,0.41323384277014064,0.19917329138215167,,0.3350752436947511,,0.0799999999999983,-0.0012776390569160614,,,0.4739583333333333
11,11,2012-08-28,8.89,9.08,8.88,8.99,15858850,NFLX,0.0,,,0.07405278530052141,0.3632066668704906,,,,-313643.62115925876,9.040686590372529,,309201.2699999934,,9.082,,,,,,0.08000000000000007,,-15796250.4,,8.983333333333334,9.086666666666668,9.183333333333332,9.286666666666667,8.886666666666667,8.783333333333335,8.68666666666667,-0.037473233404710884,,0.2858751212103439,0.4064321175741578,0.16813684902483386,,0.4072732844559336,,0.5499999999999992,-0.0020049210673109717,,,0.4713541666666667
12,12,2012-08-29,9.01,9.12,8.94,9.06,15662640,NFLX,0.0,,,0.039214397173727225,0.5960589963462787,,,,2369496.50476597,9.04715764334724,,-357715.0500000009,,9.026000000000002,,,,,,0.07000000000000027,,-9056342.4,,9.04,9.14,9.219999999999997,9.32,8.959999999999997,8.86,8.78,-0.009836065573770477,,0.3943507915063842,0.44928323538385495,0.0884872872225155,,0.4941843141473385,,0.6666666666666733,-0.0019442908144712038,,,0.46875
13,13,2012-08-30,9.02,9.05,8.6,8.64,18684526,NFLX,-0.0,,0.3011562353813939,0.07531055858086877,0.07742586646233726,,,,-3076461.261153865,8.910971926442098,,-988986.599999999,,8.924000000000003,,,,,0.5,-0.4199999999999999,,-6275200.4,,8.763333333333334,8.926666666666668,9.213333333333333,9.376666666666667,8.476666666666668,8.313333333333333,8.026666666666666,-0.04212860310421275,,0.1404577397230913,0.2604229582493118,0.16801785619391826,,0.3586214702487562,,0.08888888888889072,-0.0034377034494183977,,,0.4661458333333333
