,Unnamed: 0,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13,Target
0,0,2012-08-13,56.07,56.29,55.92,56.16,1441558,RTN,0.0,,,,,,,,,,,,,,,,,,,,,,,56.12333333333334,56.32666666666667,56.49333333333333,56.69666666666666,55.95666666666667,55.75333333333334,55.58666666666667,,,,,,,,,0.6486486486486394,0.0,0.0,,0.5
1,1,2012-08-14,56.26,56.39,55.99,56.11,1179455,RTN,-0.0,,,,,,,,,,,,,,,,,,,-0.049999999999997165,,,,56.16333333333333,56.33666666666666,56.56333333333334,56.73666666666666,55.93666666666667,55.76333333333334,55.53666666666667,,,,,,,,,0.29999999999999466,,,,0.49744897959183676
2,2,2012-08-15,55.93,56.43,55.8,56.24,1345710,RTN,0.0,,,,,,,,,,,-7667.840000000518,,,,,,,,0.13000000000000256,,,,56.15666666666666,56.51333333333334,56.786666666666676,57.14333333333334,55.88333333333333,55.526666666666664,55.25333333333333,,,,,,,,,0.6984126984127033,,,,0.49489795918367346
3,3,2012-08-16,56.32,56.55,56.04,56.42,1411432,RTN,0.0,,,,,,,,,56.280923076923074,,71912.87000000053,,,,,,,,0.17999999999999972,,,,56.33666666666666,56.63333333333333,56.84666666666666,57.14333333333333,56.12333333333334,55.82666666666667,55.61333333333334,,,,,,,0.63812715106833,,0.7450980392156942,,,,0.4923469387755102
4,4,2012-08-17,56.49,56.49,56.11,56.23,1957506,RTN,-0.0,,,0.00837750491986758,0.4957544713711586,,,,,56.26137440758294,,-6117.96000000313,,56.232000000000006,,,,,,-0.19000000000000486,,-75963.8,,56.276666666666664,56.44333333333333,56.65666666666666,56.82333333333333,56.06333333333333,55.89666666666666,55.68333333333332,0.0012464387464387516,,0.5575515635395785,,0.11777096416349847,,0.5143861469540437,,0.3157894736842017,,,,0.4897959183673469
5,5,2012-08-20,56.23,56.65,56.2,56.49,1520345,RTN,0.0,,,0.010954223950241523,0.8113340681282446,,,,,56.34491729323309,,7623.910000000031,,56.298,,,,,,0.2600000000000051,,228105.2,,56.44666666666666,56.69333333333333,56.89666666666666,57.14333333333333,56.24333333333333,55.99666666666667,55.79333333333334,0.006772411334877964,,0.7812240923267154,,0.15417522498767433,,0.5619112090445225,,0.6444444444444487,,,,0.4872448979591837
6,6,2012-08-21,56.65,56.82,56.22,56.32,997198,RTN,-0.0,,,0.008048124990241027,0.4558918908608851,,,,,56.33609519184071,,-86427.72000000328,,56.34,,,,,,-0.1700000000000017,,264556.6,,56.45333333333333,56.68666666666665,57.05333333333333,57.28666666666666,56.08666666666665,55.85333333333333,55.48666666666665,0.0014224751066856027,,0.8751265634529782,,0.11335784048754485,,0.4219727576635341,,0.16666666666666866,,,,0.4846938775510204
7,7,2012-08-22,56.18,56.34,55.7,55.81,1252049,RTN,-0.0,,,0.018990775268605226,0.08438915958372424,,,,,56.15360983346551,,182441.27999999988,,56.254,,,,,,-0.509999999999998,,-254995.2,,55.95000000000001,56.20000000000002,56.59000000000002,56.84000000000002,55.56000000000002,55.31000000000001,54.920000000000016,-0.010811768876284995,,0.3083536538501851,,0.26707676799002955,,0.3352219573447155,,0.17187499999999895,,,,0.48214285714285715
8,8,2012-08-23,55.83,55.84,55.36,55.68,1808584,RTN,0.0,,,0.02463811058125852,0.19182820242616086,,,,78192.26771511603,55.991523655521355,,-519287.04000000044,,56.106,,,,,,-0.13000000000000256,,-898998.4,,55.62666666666666,55.89333333333333,56.10666666666667,56.37333333333334,55.41333333333333,55.14666666666666,54.93333333333332,-0.009781255557531515,,0.19358661899344345,,0.3455864580680226,,0.4486541589962355,,0.6666666666666617,,,,0.47959183673469385
9,9,2012-08-24,55.46,55.89,55.27,55.8,1575615,RTN,0.0,,,0.0257199766573767,0.3473105586145635,,,,377267.12059876847,55.92655579491599,,-3235.660000001655,,56.02,,,,,,0.11999999999999746,,-192374.2,,55.65333333333333,56.03666666666666,56.27333333333332,56.65666666666665,55.41666666666666,55.03333333333333,54.79666666666666,-0.012214551248008585,,0.1701216836190488,,0.3602082730865607,,0.5864383987387193,,0.8548387096774133,,,,0.4770408163265306
