,Unnamed: 0,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13,Target
0,0,2012-08-13,49.16,49.39,48.87,49.34,2073517,VIAB,0.0,,,,,,,,,,,,,,,,,,,,,,,49.2,49.53,49.72000000000001,50.05,49.00999999999999,48.67999999999999,48.48999999999999,,,,,,,,,0.9038461538461598,0.0,0.0,,0.5
1,1,2012-08-14,49.67,49.92,49.12,49.28,4512114,VIAB,-0.0,,,,,,,,,,,,,,,,,,,-0.060000000000002274,,,,49.44,49.76,50.24,50.56,48.96,48.63999999999999,48.15999999999999,,,,,,,,,0.2000000000000036,,,,0.49793388429752067
2,2,2012-08-15,49.33,49.72,49.1,49.64,2072021,VIAB,0.0,,,,,,,,,,,-448.79999999999575,,,,,,,,0.35999999999999943,,,,49.48666666666666,49.87333333333331,50.10666666666665,50.49333333333331,49.25333333333332,48.86666666666666,48.63333333333332,,,,,,,,,0.8709677419354861,,,,0.49586776859504134
3,3,2012-08-16,49.69,50.2,49.65,49.94,3217712,VIAB,0.0,,,,,,,,,49.66123076923078,,-854305.3199999956,,,,,,,,0.2999999999999972,,,,49.93,50.21,50.48,50.76000000000001,49.66,49.38,49.10999999999999,,,,,,,0.6083777264918699,,0.5272727272727217,,,,0.493801652892562
4,4,2012-08-17,50.35,51.57,49.94,51.02,5711797,VIAB,0.0,,,0.056829510147130134,0.9151647974542472,,,,,50.182843601895726,,5022890.880000009,,49.843999999999994,,,,,,1.0800000000000054,,1297883.2,,50.84333333333333,51.74666666666667,52.47333333333333,53.37666666666667,50.11666666666667,49.21333333333333,48.48666666666666,0.034049452776651785,,0.9946748623071552,,0.7081525259433887,,0.6291839625610663,,0.6625766871165667,,,,0.49173553719008267
5,5,2012-08-20,50.84,51.07,50.7,51.02,3807169,VIAB,0.0,,,0.06389982885239108,0.7619684159977921,,,,,50.48875187969925,,636613.5600000032,,50.18,,,,,,0.0,,1297883.2,,50.93000000000001,51.16000000000001,51.3,51.53000000000001,50.790000000000006,50.56000000000001,50.420000000000016,0.0353084415584416,,0.994674862307155,,0.8016233529532459,,0.7153049539292238,,0.8648648648648716,,,,0.4896694214876033
6,6,2012-08-21,50.89,51.32,50.52,50.62,3991618,VIAB,-0.0,,,0.05006682463855687,0.5680980138209369,,,,,50.53522098105877,,688071.6000000098,,50.44799999999999,,,,,,-0.4000000000000057,,1401982.4,,50.82,51.12,51.62,51.92,50.32,50.02,49.52,0.019742143432715492,,0.9957592720487572,,0.6314427923414792,,0.5063043170111039,,0.12499999999999335,,,,0.48760330578512395
7,7,2012-08-22,50.48,50.76,50.21,50.6,2430473,VIAB,0.0,,,0.034898455030607865,0.4773660634893711,,,,,50.55769072164949,,578212.3200000024,,50.64,,,,,,-0.019999999999996017,,501483.6,,50.52333333333333,50.83666666666666,51.07333333333333,51.38666666666666,50.28666666666667,49.973333333333336,49.73666666666667,0.01321585903083708,,0.7356819918783951,,0.4418144406874955,,0.5766444085065113,,0.7090909090909138,,,,0.4855371900826446
8,8,2012-08-23,50.39,50.63,50.11,50.17,2212818,VIAB,-0.0,,,0.027932695331260516,0.13554086680382035,,,,-663157.7511909014,50.42500912837098,,800459.9999999923,,50.68600000000001,,,,,,-0.4299999999999997,,-584622.4,,50.30333333333334,50.49666666666669,50.82333333333334,51.01666666666669,49.97666666666668,49.78333333333334,49.45666666666668,-0.016660133281066275,,0.6580607821621256,,0.3539491488900676,,0.418784854874842,,0.11538461538461907,,,,0.4834710743801653
9,9,2012-08-24,50.11,50.75,49.83,50.61,2550082,VIAB,0.0,,,0.023770121941901784,0.5049880981867799,,,,204397.1060062052,50.48776096510125,,1196.0899999997619,,50.604,,,,,,0.4399999999999977,,-1216965.4,,50.39666666666667,50.96333333333334,51.31666666666668,51.88333333333334,50.04333333333334,49.47666666666667,49.12333333333334,-0.00803606428851438,,0.4655225212521466,,0.3007158126869995,,0.5643224433464266,,0.8478260869565214,,,,0.48140495867768596
