,Unnamed: 0,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13,Target
0,0,2012-08-13,28.6,28.8,28.6,28.76,2264972,XRX,0.0,,,,,,,,,,,,,,,,,,,,,,,28.72,28.840000000000003,28.92,29.040000000000006,28.640000000000004,28.520000000000003,28.440000000000005,,,,,,,,,0.8000000000000036,0.0,0.0,,0.5
1,1,2012-08-14,28.88,28.96,28.56,28.72,1920328,XRX,-0.0,,,,,,,,,,,,,,,,,,,-0.0400000000000027,,,,28.746666666666666,28.93333333333333,29.146666666666665,29.333333333333336,28.53333333333333,28.346666666666664,28.13333333333333,,,,,,,,,0.3999999999999983,,,,0.49828178694158076
2,2,2012-08-15,28.72,29.0,28.64,28.96,1982004,XRX,0.0,,,,,,,,,,,-56593.5999999998,,,,,,,,0.24000000000000196,,,,28.866666666666664,29.09333333333333,29.22666666666666,29.45333333333333,28.73333333333333,28.506666666666664,28.37333333333333,,,,,,,,,0.8888888888888911,,,,0.4965635738831615
3,3,2012-08-16,28.96,29.44,28.84,29.36,2041150,XRX,0.0,,,,,,,,,29.057230769230767,,77326.08000000007,,,,,,,,0.3999999999999986,,,,29.21333333333333,29.58666666666667,29.813333333333336,30.18666666666667,28.986666666666668,28.61333333333333,28.38666666666667,,,,,,,0.778461538461538,,0.8666666666666639,,,,0.4948453608247423
4,4,2012-08-17,29.36,29.68,29.2,29.64,2330570,XRX,0.0,,,0.0549229303250454,0.8455186672936005,,,,,29.28094786729857,,237024.8799999999,,29.088,,,,,,0.28000000000000114,,886679.2,,29.506666666666664,29.81333333333333,29.986666666666668,30.29333333333333,29.33333333333333,29.026666666666664,28.85333333333333,0.030598052851182164,,1.0,,0.3993995493237301,,0.8315165876777256,,0.9166666666666684,,,,0.49312714776632305
5,5,2012-08-20,29.52,29.9,29.16,29.68,2283682,XRX,0.0,,,0.05763947013485216,0.7418175333272183,,,,,29.42676691729323,,77610.24000000006,,29.272,,,,,,0.03999999999999915,,1343415.6,,29.58,30.000000000000004,30.320000000000004,30.74,29.260000000000005,28.840000000000003,28.52000000000001,0.03342618384401117,,1.0,,0.42180564244684815,,0.7844462507620409,,0.7027027027027036,,,,0.49140893470790376
6,6,2012-08-21,29.64,30.08,29.54,29.68,1942464,XRX,-0.0,,,0.04234284809039937,0.6731338469143677,,,,,29.516425449247212,,-15524.239999999669,,29.46400000000001,,,,,,0.0,,1727481.2,,29.766666666666666,29.99333333333333,30.306666666666665,30.53333333333333,29.45333333333333,29.22666666666667,28.91333333333333,0.02486187845303864,,1.0,,0.31189741903388185,,0.5985009779084584,,0.25925925925926074,,,,0.4896907216494845
7,7,2012-08-22,29.64,29.64,29.08,29.16,2015266,XRX,-0.0,,,0.03176041315476336,0.13289406999013892,,,,,29.392793021411578,,139576.3199999999,,29.504,,,,,,-0.5199999999999996,,928027.2,,29.29333333333333,29.50666666666667,29.85333333333334,30.06666666666667,28.946666666666665,28.73333333333333,28.386666666666667,-0.006811989100817414,,0.506174175570583,,0.23426480742953454,,0.4404529101436335,,0.14285714285714554,,,,0.4879725085910653
8,8,2012-08-23,29.0,29.36,28.72,29.2,2084998,XRX,0.0,,,0.03629644875232669,0.24572997847194356,,,,-192909.20189764016,29.32681237285483,,-68416.32000000008,,29.471999999999998,,,,,,0.03999999999999915,,936796.8,,29.09333333333333,29.46666666666667,29.73333333333333,30.10666666666667,28.82666666666667,28.45333333333333,28.18666666666667,-0.014844804318488572,,0.32845816260911875,,0.26743223440714303,,0.5463909653597214,,0.75,,,,0.48625429553264604
9,9,2012-08-24,29.2,29.76,28.92,29.52,1779596,XRX,0.0,,,0.03444904642031404,0.5709740335111084,,,,11032.95817570394,29.39234467901766,,-84841.19999999987,,29.448,,,,,,0.3200000000000003,,826602.0,,29.4,29.880000000000006,30.24,30.72,29.040000000000006,28.56,28.200000000000006,-0.0053908355795148286,,0.5656684364073276,,0.253613879746352,,0.6033435262060854,,0.7142857142857119,,,,0.4845360824742268
10,10,2012-08-27,29.52,29.6,29.04,29.2,1427164,XRX,-0.0,,,0.03187831347443572,0.3375534275865159,,,,-314778.9538055857,29.327479882809158,,-0.0,,29.352,,,,,,-0.3200000000000003,,84432.8,,29.28,29.520000000000003,29.840000000000003,30.080000000000005,28.96,28.72,28.4,-0.01617250673854449,,0.5656684364073276,0.5977000591512754,0.2339230642754093,,0.4962287567225343,,0.2857142857142848,-0.0002532438136828717,,,0.48281786941580757
11,11,2012-08-28,29.04,29.68,29.0,29.52,1780065,XRX,0.0,,,0.025007234351736185,0.7727723627950005,,,,50739.38481349917,29.392151703344112,,0.0,,29.32,,,,,,0.3200000000000003,,440445.8,,29.4,29.800000000000004,30.08,30.480000000000004,29.120000000000005,28.72,28.440000000000005,0.01234567901234566,,0.6184943975108829,0.6243364518296857,0.18330302779822624,,0.5864162381133688,,0.7647058823529409,-1.0244370034870343e-05,,,0.48109965635738833
12,12,2012-08-29,29.6,29.72,29.28,29.56,1519128,XRX,0.0,,,0.024939187455540985,0.7182178902360014,,,,33377.40525521577,29.448390101448123,,33107.03999999995,,29.4,,,,,,0.03999999999999915,,1147324.6,,29.52,29.76,29.959999999999994,30.2,29.32,29.08,28.880000000000006,0.012328767123287652,,0.6484266883040121,0.6384806288903032,0.18330302779822624,,0.6031513597858658,,0.6363636363636341,0.000311035620255691,,,0.4793814432989691
13,13,2012-08-30,29.32,29.6,29.2,29.32,1540882,XRX,-0.0,,0.5477148862918128,0.021269828401965042,0.3338242524163951,,,,-292771.51425874064,29.4054462975065,,47836.59999999983,,29.424,,,,,0.6428571428571429,-0.23999999999999844,,422148.6,,29.37333333333333,29.54666666666667,29.773333333333333,29.946666666666676,29.14666666666667,28.97333333333333,28.746666666666666,-0.006775067750677483,,0.5316352876494298,0.5863033234903613,0.15646085772485485,,0.5017535696724241,,0.3000000000000009,0.00022996372538721627,,,0.47766323024054985
14,14,2012-08-31,29.6,29.8,29.32,29.48,2424052,XRX,-0.0,,0.5374911739310894,0.02056858352046552,0.6057771770696012,,,,-456951.1383065419,29.430354413295372,,-72393.91999999847,,29.416,,,,,0.7142857142857143,0.16000000000000014,,551039.8,,29.53333333333333,29.74666666666667,30.013333333333332,30.22666666666667,29.26666666666667,29.05333333333333,28.78666666666667,0.00958904109589045,,0.7127306481597664,0.6667629300320129,0.1512613632095034,,0.4454849926920983,,0.3333333333333333,0.0002672147265945811,,,0.47594501718213056
15,15,2012-09-04,29.08,29.52,28.84,29.04,2465376,XRX,-0.0,,0.5586342643979227,0.02896691767660225,0.0958475255366509,,,,-545420.1066255989,29.30003787657321,,-258858.32000000105,,29.384,,,,,0.6428571428571429,-0.4400000000000013,,343397.4,,29.133333333333336,29.426666666666673,29.813333333333336,30.106666666666676,28.746666666666673,28.453333333333337,28.066666666666674,-0.016260162601626032,,0.3099961894915345,0.4297142514609826,0.21279097725232013,,0.3949522778465507,,0.2941176470588226,-0.00025155926037542185,,,0.4742268041237113
16,16,2012-09-05,29.08,29.68,28.96,29.68,1931572,XRX,0.0,,0.5822205270919909,0.033661677338624914,0.7666149862889233,,,,388532.61145976273,29.42682059700739,,-98495.99999999962,,29.416,,,,,0.6428571428571429,0.6400000000000006,,373698.8,,29.44,29.919999999999995,30.16,30.639999999999993,29.2,28.72,28.48,0.004059539918809235,,0.4539786946826626,0.4997730366159395,0.24754797514824756,,0.5968397594599592,,1.0,4.03115185353851e-05,,,0.4725085910652921
17,17,2012-09-06,29.84,30.72,29.64,30.72,2673750,XRX,0.0,,0.6540573114522583,0.08680061355842845,0.9165590635443588,,,,965575.1995420931,29.858172267576972,,350068.31999999995,,29.648,,,,,0.6428571428571429,1.0399999999999991,,604623.2,,30.36,31.08,31.44,32.16,30.0,29.28,28.92,0.04774897680763979,,0.8116446459455794,0.7426419312516059,0.6433661476950716,,0.7313174992551845,,1.0,0.0018100059317177023,,,0.47079037800687284
18,18,2012-09-07,30.64,30.76,30.08,30.72,2129491,XRX,0.0,,0.6577605511775032,0.10146450516958946,0.7608154682822343,,,,862220.1507958844,30.145577825016822,29.660544252687693,205835.75999999983,,29.928,,,,,0.6428571428571429,0.0,,912799.6,,30.52,30.96,31.200000000000006,31.640000000000004,30.28,29.84,29.599999999999994,0.0420624151967435,,0.8180618588857042,0.7481989223657796,0.7591574276788683,,0.8013020592439339,0.6527461806257768,0.9411764705882316,0.0034700767508746523,,,0.4690721649484536
19,19,2012-09-10,30.8,30.8,29.84,29.84,3772970,XRX,-0.0,,0.7005019600305686,0.09629584045476117,0.4446151224378286,0.07108640984490801,0.6679232242667119,,-1038687.900869642,30.043687908793263,29.680305164634518,-967313.5999999987,,30.0,29.48800000000001,,,,0.5714285714285714,-0.879999999999999,,-326604.8,484429.05,30.16,30.48,31.12,31.44,29.52,29.2,28.56,0.02754820936639121,0.03755215577190536,0.6360371810494208,0.6488529798361254,0.7222188034107088,0.5240490133766619,0.5341210238345809,0.5808685172342928,0.0,0.003416403034630488,,,0.46735395189003437
20,20,2012-09-11,29.92,30.12,29.64,29.96,3099466,XRX,0.0,,0.6695695247539081,0.06616478675485725,0.3878383707970092,0.06831567225931617,0.704102713838989,,-203226.83806514216,30.01578634532899,29.710652485000647,-737180.999999998,,30.184000000000005,29.54800000000001,,,,0.5,0.12000000000000098,,786363.6,639402.35,29.906666666666666,30.17333333333333,30.38666666666667,30.65333333333333,29.69333333333333,29.426666666666666,29.21333333333333,0.00943396226415098,0.04317548746518113,0.5049550158185282,0.5738160328349008,0.4992794808521529,0.5046478709795688,0.5783117643933995,0.590177748576527,0.6666666666666666,0.0029017227692780603,,,0.46563573883161513
21,21,2012-09-12,30.12,30.8,30.12,30.64,2063418,XRX,0.0,,0.6933128544413913,0.0576524552752676,0.6507493801846115,0.07032748655502093,0.9777464157199628,,175293.3471803196,30.2238853774829,29.81016820037625,-1367641.6000000013,,30.376,29.644000000000005,,,,0.5714285714285714,0.6799999999999997,,812732.8,838589.65,30.52,30.92,31.2,31.6,30.24,29.84,29.56,-0.0026041666666666114,0.0580110497237569,0.7501032197338378,0.7090268318501699,0.4378127453603821,0.5211970028592602,0.6404514424608497,0.6088664433926321,0.7647058823529409,0.0031282379688911946,,,0.4639175257731959
22,22,2012-09-13,30.52,31.0,30.4,30.96,2517748,XRX,0.0,,0.6803903627139211,0.0650077818158813,0.7710086357079311,0.07697740445625638,1.0310934425124754,0.0609322117409461,658609.0073954491,30.469278784049425,29.93185252458705,-581718.0,,30.424,29.74400000000001,,,,0.6428571428571429,0.3200000000000003,,781532.4,865376.85,30.786666666666665,31.17333333333333,31.386666666666667,31.77333333333333,30.57333333333333,30.186666666666664,29.97333333333333,0.007812500000000066,0.054495912806539565,0.7924285850752685,0.7379274754222209,0.4944491884915931,0.5724039795367226,0.7380874392531495,0.6432041041219108,0.9333333333333348,0.003790587133897968,,,0.46219931271477666
23,23,2012-09-14,31.04,31.44,30.92,31.44,1854756,XRX,0.0,,0.6582924538712471,0.08823989746301547,0.8232841894306325,0.09088076768152588,1.0868888253932043,0.07892702114912778,692255.926285409,30.79287174515443,30.089784185730828,-166929.60000000015,,30.568,29.84800000000001,,,,0.6428571428571429,0.4800000000000004,,1152483.6,856057.15,31.266666666666666,31.61333333333333,31.78666666666666,32.13333333333333,31.09333333333333,30.746666666666666,30.57333333333333,0.05361930294906171,0.06072874493927127,0.8635891822326879,0.7917154287925571,0.6743292964123643,0.6781522884395463,0.8253968126242416,0.6805674054196701,1.0,0.004855284251856974,,,0.4604810996563574
24,24,2012-09-17,31.28,31.44,30.56,30.8,1844071,XRX,-0.0,,0.6887032872728136,0.06997983899648125,0.5185823536561789,0.09474474848097583,0.8155179289827703,0.08076706875908099,-210784.5370239617,30.795247924204702,30.163458759476942,107788.3200000001,,30.76,29.90600000000001,0.3223460273071517,,,0.6428571428571429,-0.6400000000000006,,1538263.4,647325.1,30.93333333333333,31.30666666666667,31.813333333333336,32.18666666666667,30.426666666666666,30.05333333333333,29.546666666666663,0.02803738317757009,0.037735849056603814,0.6200871340591533,0.6606128999700234,0.5381449618829408,0.7083591120180159,0.6411663367396906,0.6382599161622167,0.2727272727272742,0.004779966963963282,,,0.4587628865979381
25,25,2012-09-18,30.68,30.8,30.2,30.4,1895759,XRX,-0.0,,0.6765826333917081,0.050607099243361466,0.21302797840821347,0.09545625008915064,0.6602434558436961,0.07968398959487498,-495256.0786240028,30.663495137675987,30.18778972761488,-42643.12000000011,,30.848000000000006,29.94200000000001,0.29522164453765143,,,0.5714285714285714,-0.4000000000000021,,539218.4,438353.05,30.46666666666667,30.733333333333334,31.066666666666666,31.33333333333334,30.133333333333336,29.86666666666667,29.53333333333333,-0.007832898172323825,0.024258760107816676,0.4445861981067989,0.5524901324562329,0.3902819493648037,0.7145377600423373,0.5385526264567085,0.6068947345354717,0.33333333333333137,0.0037209429522702953,,,0.4570446735395189
